stock_receipt_id,item_number,stock_item_description,stock_item_spec,oem_model_no,oem_part_no,subinventory,locator,lot_number,receipt_number,receipt_date,po_number,quantity,uom,locator_segment1,locator_segment2,locator_segment3,locator_segment4,locator_segment5,locator_segment6,locator_segment7,locator_segment8,created_by,creation_date,last_updated_by,last_update_date
93,"2622I06537203040","3976990","Dipstick Engine , Ottawa Kalmar","","","","01B0403C103","","2622090052663",06/10/2020 00:00:00,"2622040030320",4,"piece","2622","01B","4","3","C","103","","",,,,
94,"2622I06611601120","01.272.80.190 ","Hub Tromol 01.272.80.190 for Chassis New CIMC, Brand BPW","","","","01A0104D101","","2622090052751",13/10/2020 00:00:00,"2622040030380",1,"piece","2622","01A","1","4","D","101","","",,,,
95,"2622I06181201050","SKF NNF 5022 ADA 2LSV (include snap ring) ","Bearing SL 04-5022 NR or 5022 ADA 2LSV. brand SKF Doosan Mitsui include snap ring","","","","01C0805B207","","2622090052680",07/10/2020 00:00:00,"2622040030267",4,"Each","2622","01C","8","5","B","207","","",,,,
96,"2622I06541240030","E-75503457 ","Stud E-75503457. Spec : M22 x 150 for Rear Axle Terberg","","","","01B0502A103","","2622090052945",26/10/2020 00:00:00,"2622040030113",40,"pack","2622","01B","5","2","A","103","","",,,,
97,"2622I06222201080","GE.70 ES ","Bushing Ball Bearing Type. GE. 70 ES, Brand IKO","","","","01C0805B107","","2622090052772",14/10/2020 00:00:00,"2622040030390",4,"piece","2622","01C","8","5","B","107","","",,,,
98,"2622I06537311080","90004391","Pressure control valve,tank air pressure, Ottawa Kalmar","","","","01B0403A306","","2622090052844",16/10/2020 00:00:00,"2622040030320",2,"piece","2622","01B","4","3","A","306","","",,,,
99,"2622I06537201030","53102153","Ignition switch ( starter ) , Ottawa Kalmar","","","","01B0403A511","","2622090052663",06/10/2020 00:00:00,"2622040030320",4,"piece","2622","01B","4","3","A","511","","",,,,
100,"2622I02000010160","WR-400 ","Grease Berulit WR-400 for wire rope QC. brand Bechem","","","","01A0203A103","","2622090052949",27/10/2020 00:00:00,"2622040030462",4,"pail","2622","01A","2","3","A","103","","",,,,
101,"2622I02000010160","WR-400 ","Grease Berulit WR-400 for wire rope QC. brand Bechem","","","","01A0203A103","","2622090052822",15/10/2020 00:00:00,"2622040030406",4,"pail","2622","01A","2","3","A","103","","",,,,
102,"2622I06541283350","G75503596 ","Oil Seal Rear Axle for HT Terberg","","","","01B0506B104","","2622090052716",09/10/2020 00:00:00,"2622040030264",1,"piece","2622","01B","5","6","B","104","","",,,,
103,"2622I06232234040","JC 160 SKF ","Joint Roller Chain RS 160 brand SKF for RTGC Mitsui","","","","01B0605B103","","2622090052724",09/10/2020 00:00:00,"2622040029919",10,"piece","2622","01B","6","5","B","103","","",,,,
104,"2622I06282224010","9558","Inflator Valve No 9558 (Include Head/Kepala) brand CODAN. RTGC ZPMC","","","","01B0405A302","","2622090052743",13/10/2020 00:00:00,"2622040030375",10,"Each","2622","01B","4","5","A","302","","",,,,
105,"2622I06472399640","9239760179","Coolan Filter complete with its gasket 20532237 Volvo/923976.0179","","","","01B0102B101","","2622090052687",07/10/2020 00:00:00,"2622040030342",1,"piece","2622","01B","1","2","B","101","","",,,,
106,"2622I06232399920","G5800-1105140C ","Fuel Filter OEM REF : G5800-1105140C Engine Yuchai for RTGC Mitsui","","","","01B0103B105","","2622090052714",09/10/2020 00:00:00,"2622040030362",6,"piece","2622","01B","1","3","B","105","","",,,,
107,"2622I06382202060","ETWLTSO1-01C ","Guide Sleeve, Single ZPMC (original), Spreader Single ZPMC Model : ZH941, Project No : NH14 - B0470","","","","01B0706A105","","2622090052846",16/10/2020 00:00:00,"2622040030291",4,"piece","2622","01B","7","6","A","105","","",,,,
108,"2622I06537203410","3287208","Compressor Water Outlet Tube 3287208","","","","01B0403A404","","2622090052844",16/10/2020 00:00:00,"2622040030320",1,"piece","2622","01B","4","3","A","404","","",,,,
109,"2622I06537202330","90031347 / 90030883 ","Control Valve 90031347 for Replace P/N 90030883, Ottawa Kalmar","","","","01B0403A404","","2622090052663",06/10/2020 00:00:00,"2622040030320",4,"piece","2622","01B","4","3","A","404","","",,,,
110,"2622I99200101010","50-115-128-1064 ","Cat warna abu-abu (Light grey) 50-115-128-1064. merk Kansai","","","","01A0202B105","","2622090052858",19/10/2020 00:00:00,"2622040030407",5,"Kilogramo","2622","01A","2","2","B","105","","",,,,
111,"2622I06541261040","A100-66503 ","Wiper Blade Front L=700 mm A100-66503 for new HT Terberg","","","","01B0405B202","","2622090052926",23/10/2020 00:00:00,"2622040030436",10,"pack","2622","01B","4","5","B","202","","",,,,
112,"2622I06282125040","HD110M3 ","Power Module HD110M3, AC.200/220 V Brand EW","","","","01B0601A704","","2622090052841",16/10/2020 00:00:00,"2622040030338",2,"piece","2622","01B","6","1","A","704","","",,,,
113,"2622I06541305020","T12012924 ","Cooler T12012924 for Transmission","","","","01B0707A102","","2622090052864",19/10/2020 00:00:00,"2622040030361",1,"pack","2622","01B","7","7","A","102","","",,,,
114,"2622I06541336010","1117746","Alternator 24V 55A type 1117746, Include Pulley, brand Delco Remy","","","","01B0606B105","","2622090052931",26/10/2020 00:00:00,"2622040030447",1,"Unit","2622","01B","6","6","B","105","","",,,,
115,"2622I06541780210","T19017226 ","Hydraulic steer cylinder overhaul kit","","","","01C0108B102","","2622090052866",19/10/2020 00:00:00,"2622040030308",3,"pack","2622","01C","1","8","B","102","","",,,,
116,"2622I06181284270","Snap Ring (inner) 105mm x 3mm ","Snap Ring (inner) 105mm x 3mm, Brand IKO","","","","01C0502B107","","2622090052828",15/10/2020 00:00:00,"2622040030391",8,"piece","2622","01C","5","2","B","107","","",,,,
117,"2622I06541262090","T26040248 ","Lock Nut for Bracket Cabin Mounting (M20) T26040248 equivalent with BN8-M20Z. HT Terberg","","","","01B0406B208","","2622090052718",09/10/2020 00:00:00,"2622040030367",15,"pack","2622","01B","4","6","B","208","","",,,,
118,"2622I06541281210","357516900H-HX40 ","Turbo Repair Kit 357516900H - HX40, 357569","","","","01C0107B204","","2622090052946",26/10/2020 00:00:00,"2622040030310",4,"Set","2622","01C","1","7","B","204","","",,,,
119,"2622I06282399620","FF42000 ","Fuel Filter FF42000 Brand Fleetguard, for Replace part no 466987 and FF5052","","","","01B0106A204","","2622090052778",14/10/2020 00:00:00,"2622040030388",24,"piece","2622","01B","1","6","A","204","","",,,,
120,"2622I06541261030","A100-66502 ","Wiper Arm Front L=700mm A100-66502 for new HT Terberg","","","","01B0405B201","","2622090052849",16/10/2020 00:00:00,"2622040030411",10,"pack","2622","01B","4","5","B","201","","",,,,
121,"2622I06312176072","110309","Proximity switch Efector type.110309. IIA20-15 R-ABOA. Metal thread M30x1.5. Cable connection. Sensing range 10mm [f]. flush mountable. S = 15mm. U:20. 250 VAC/45VDC. 65Hz. I:350mA AC/100 mA DC. brand IFM include COO (certificate","","","","01B0202B104","","2622090052646",05/10/2020 00:00:00,"2622040030309",10,"pack","2622","01B","2","2","B","104","","",,,,
122,"2622I06537207080","5260246","Sensor Fuel Pressure, Cummins QSB6, 7, Ottawa Kalmar","","","","01B0202A607","","2622090052779",14/10/2020 00:00:00,"2622040030319",2,"piece","2622","01B","2","2","A","607","","",,,,
123,"2622I06282177020","VDO ","Switch Oil pressure VDO made in Germany for Switch oil pressure engine Cummins RTGC Hybrid","","","","01B0202A604","","2622090052784",14/10/2020 00:00:00,"2622040030337",8,"piece","2622","01B","2","2","A","604","","",,,,
